epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.83382,1.27275,2.70392,1.44747,0.63213,0.66745,0.62887,0.44905,1.10286,6.50074,1.43258,0.00015719,0.00015719,0.00015719
2,18.8456,1.1521,1.86238,1.29719,0.49971,0.52323,0.47506,0.33462,1.07651,3.62618,1.48645,0.000327043,0.000327043,0.000327043
3,26.3745,1.19456,1.57658,1.26869,0.28513,0.52851,0.34326,0.24285,1.25205,6.79409,1.68727,0.000495199,0.000495199,0.000495199
4,34.1011,1.34688,1.81519,1.33607,0.33019,0.47437,0.50957,0.29847,1.29703,7.28311,1.61213,0.000661656,0.000661656,0.000661656
5,41.751,1.21925,2.12765,1.43781,0.20706,0.37646,0.1573,0.07236,2.1801,4.13506,2.8243,0.000826416,0.000826416,0.000826416
6,49.6856,1.54316,2.51644,1.64271,0.29244,0.19834,0.2156,0.11544,1.88739,14.6944,2.5143,0.000989479,0.000989479,0.000989479
7,57.56,1.32604,2.30181,1.48397,0.29244,0.19834,0.2156,0.11544,1.88739,14.6944,2.5143,0.00115084,0.00115084,0.00115084
8,65.7254,1.29611,2.11945,1.48518,0.2,0.04167,0.08591,0.02731,2.22224,73.2884,3.33791,0.00131051,0.00131051,0.00131051
9,73.8485,1.52178,3.17596,1.51226,0.04899,0.49927,0.08578,0.02987,1.86359,90.3361,3.75981,0.00137241,0.00137241,0.00137241
10,81.7837,1.74027,3.97201,1.81511,0.05092,0.44872,0.06314,0.03039,2.22902,100.78,4.42492,0.00136534,0.00136534,0.00136534
11,89.7944,1.73649,2.39769,1.86115,0.05092,0.44872,0.06314,0.03039,2.22902,100.78,4.42492,0.00135826,0.00135826,0.00135826
12,97.761,1.5694,2.22881,1.71243,0.02964,0.30872,0.04434,0.0108,2.97038,71.2408,4.13154,0.00135119,0.00135119,0.00135119
13,105.883,1.55424,2.22037,1.61789,0.06044,0.29971,0.05865,0.01881,2.3815,23.2923,3.33163,0.00134412,0.00134412,0.00134412
